minute,h_name,h_score,h_xG,h_0,h_1,h_2,h_3,h_4,h_shot_x,h_shot_y,h_type,h_shot_xG,h_event_log,a_name,a_score,a_xG,a_0,a_1,a_2,a_3,a_4,a_shot_x,a_shot_y,a_type,a_shot_xG,a_event_log,code
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
0,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
1,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
2,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
3,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
4,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
5,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
6,Sunderland,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,Brentford,0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,SUNBRE20250830
